observ,profile1,tectonics1,profile2,tectonics2,profile3,tectonics3,profile4,tectonics4,profile5,tectonics5,profile6,tectonics6,profile7,tectonics7,profile8,tectonics8,profile9,tectonics9,profile10,tectonics10,profile11,tectonics11,profile12,tectonics12,profile13,tectonics13,profile14,tectonics14,profile15,tectonics15,profile16,tectonics16,profile17,tectonics17,profile18,tectonics18,profile19,tectonics19,profile20,tectonics20,profile21,tectonics21,profile22,tectonics22,profile23,tectonics23,profile24,tectonics24,profile25,tectonics25
197,-4400,Ph,-5550,Ma,-5950,Pc,-4850,Ma,-3650,Ma,-5450,Ma,-3350,Ma,-2050,Ma,-4400,Ma,-800,Ma,-4400,Ma,-5650,Ph,-1250,Ph,-3850,Ph,-4100,Ph,-5500,Ph,-4250,Ph,-3800,Ph,-3000,Ph,-4950,Ph,-2450,Ph,-3600,Ph,-3900,Ph,-4500,Ph,-6200,Ph
198,-4400,Ph,-5550,Ma,-5950,Pc,-4850,Ma,-3600,Ma,-5450,Ma,-3350,Ma,-2000,Ma,-4400,Ma,-800,Ma,-3500,Ma,-5650,Ph,-1300,Ph,-3850,Ph,-4100,Ph,-5500,Ph,-4300,Ph,-3850,Ph,-3000,Ph,-5000,Ph,-2450,Ph,-3600,Ph,-3900,Ph,-4500,Ph,-6250,Ph
199,-4400,Ph,-5550,Ma,-6600,Pc,-4850,Ma,-3600,Ma,-5450,Ma,-2850,Ma,-2000,Ma,-4150,Ma,-850,Ma,-3500,Ma,-5600,Ph,-1300,Ph,-3850,Ph,-4150,Ph,-5750,Ph,-4300,Ph,-3850,Ph,-2950,Ph,-5000,Ph,-2500,Ph,-3600,Ph,-3900,Ph,-4500,Ph,-6250,Ph
200,-4450,Ph,-5500,Ma,-6600,Pc,-4900,Ma,-4300,Ma,-5450,Ma,-2850,Ma,-1950,Ma,-4150,Ma,-850,Ma,-3700,Ma,-5600,Ph,-1350,Ph,-3850,Ph,-4150,Ph,-5750,Ph,-4350,Ph,-3850,Ph,-2950,Ph,-4850,Ph,-2500,Ph,-3000,Ph,-3950,Ph,-4300,Ph,-5450,Ph
201,-4450,Ph,-5500,Ma,-6550,Pc,-4900,Ma,-4300,Ma,-5450,Ma,-2900,Ma,-1950,Ma,-3900,Ma,-900,Ma,-3700,Ma,-5550,Ph,-1350,Ph,-3850,Ph,-4150,Ph,-3050,Ph,-4350,Ph,-3850,Ph,-2900,Ph,-4850,Ph,-1850,Ph,-3000,Ph,-3950,Ph,-4300,Ph,-5450,Ph
202,-4450,Ph,-5500,Ma,-6550,Pc,-4900,Ma,-4300,Ma,-5050,Ma,-2900,Ma,-1900,Ma,-3900,Ma,-900,Ma,-3450,Ma,-5550,Ph,-1400,Ph,-3850,Ph,-4150,Ph,-3050,Ph,-4400,Ph,-3900,Ph,-2900,Ph,-4800,Ph,-1850,Ph,-3050,Ph,-3950,Ph,-4300,Ph,-5450,Ph
203,-4450,Ph,-5500,Ma,-6450,Pc,-4950,Ma,-4300,Ma,-5050,Ma,-2700,Ma,-1900,Ma,-4500,Ma,-250,Ma,-3450,Ma,-5500,Ph,-1400,Ph,-3850,Ph,-4200,Ph,-3100,Ph,-4400,Ph,-3900,Ph,-2850,Ph,-4800,Ph,-2000,Ph,-3050,Ph,-3950,Ph,-4300,Ph,-5450,Ph
204,-4450,Ph,-5500,Ma,-6450,Pc,-4950,Ma,-3550,Ma,-5050,Ma,-2700,Ma,-3350,Ma,-4500,Ma,-250,Ma,-3750,Ma,-5500,Ph,-1450,Ph,-3900,Ph,-4200,Ph,-3100,Ph,-3750,Ph,-3900,Ph,-2850,Ph,-4750,Ph,-2000,Ph,-3100,Ph,-3950,Ph,-4250,Ph,-5450,Ph
205,-4450,Ph,-5400,Ma,-6400,Pc,-4950,Ma,-3550,Ma,-5100,Ma,-2750,Ma,-3350,Ma,-4300,Ma,-300,Ma,-3750,Ma,-5900,Ma,-1450,Ph,-3900,Ph,-4200,Ph,-3150,Ph,-3750,Ph,-3900,Ph,-2800,Ph,-4750,Ph,-2050,Ph,-3100,Ph,-3950,Ph,-4250,Ph,-5450,Ph
206,-4450,Ph,-5400,Ma,-6400,Pc,-5000,Ma,-4350,Ma,-5100,Ma,-2750,Ma,-3400,Ma,-4300,Ma,-300,Ma,-3400,Ma,-5900,Ma,-4100,Ph,-3900,Ph,-4200,Ph,-3150,Ph,-3800,Ph,-3900,Ph,-2800,Ph,-2850,Ph,-2050,Ph,-3150,Ph,-3950,Ph,-4250,Ph,-5650,Ph
207,-4450,Ph,-5400,Ma,-6350,Pc,-5000,Ma,-4350,Ma,-5100,Ma,-2800,Ma,-3400,Ma,-4250,Ma,-350,Ma,-3400,Ma,-5700,Ma,-4100,Ph,-3900,Ph,-3650,Ph,-3200,Ph,-3800,Ph,-3900,Ph,-2750,Ph,-2850,Ph,-2100,Ph,-3150,Ph,-3950,Ph,-4250,Ph,-5650,Ph
208,-4500,Ph,-5400,Ma,-6350,Pc,-5000,Ma,-4350,Ma,-5150,Ma,-2800,Ma,-3450,Ma,-4250,Ma,-350,Ma,-3800,Ma,-5700,Ma,-4150,Ph,-3900,Ph,-3650,Ph,-3200,Ph,-3850,Ph,-3950,Ph,-2750,Ph,-2850,Ph,-2100,Ph,-3200,Ph,-3950,Ph,-4000,Ph,-5700,Ph
209,-4500,Ph,-5400,Ma,-6000,Pc,-4650,Ma,-4350,Ma,-5150,Ma,-2650,Ma,-3450,Ma,-4450,Ma,-400,Ma,-3800,Ma,-5750,Ma,-4150,Ph,-3900,Ph,-3700,Ph,-3250,Ph,-3850,Ph,-3950,Ph,-2850,Ph,-2850,Ph,-2150,Ph,-3200,Ph,-3400,Ph,-4000,Ph,-5700,Ph
210,-4500,Ph,-5450,Ma,-6000,Pc,-4550,Ma,-3500,Ma,-5150,Ma,-2650,Ma,-3500,Ma,-4450,Ma,-400,Ma,-2500,Ma,-5750,Ma,-4200,Ph,-4300,Ph,-3700,Ph,-3250,Ph,-3900,Ph,-3950,Ph,-2850,Ph,-2900,Ph,-2150,Ph,-3250,Ph,-3400,Ph,-4000,Ph,-5750,Ph
211,-4500,Ph,-5450,Ma,-6000,Pc,-4550,Ma,-3500,Ma,-5200,Ma,-5650,Ma,-3500,Ma,-4350,Ma,-450,Ma,-2500,Ma,-5800,Ma,-4200,Ph,-4300,Ph,-3750,Ph,-3300,Ph,-3900,Ph,-3950,Ph,-2900,Ph,-2900,Ph,-5650,Ph,-3250,Ph,-3450,Ph,-4000,Ph,-5750,Ph
212,-4500,Ph,-5450,Ma,-6000,Pc,-4600,Ma,-3450,Ma,-5200,Ma,-5650,Ma,-3550,Ma,-4350,Ma,-450,Ma,-3600,Ma,-5800,Ma,-4250,Ph,-4250,Ph,-3750,Ph,-3300,Ph,-3950,Ph,-3950,Ph,-2900,Ph,-2950,Ph,-5650,Ph,-2850,Ph,-3450,Ph,-4000,Ph,-5800,Ph
213,-4500,Ph,-5450,Ma,-6300,Pc,-4350,Ma,-3450,Ma,-5200,Ma,-5650,Ma,-3550,Ma,-4400,Ma,-500,Ma,-3600,Ma,-5850,Ma,-4250,Ph,-4250,Ph,-3800,Ph,-3350,Ph,-3950,Ph,-3950,Ph,-2950,Ph,-2950,Ph,-5700,Ph,-2850,Ph,-3500,Ph,-4000,Ph,-5800,Ph
214,-4300,Ph,-5450,Ma,-6300,Pc,-4350,Ma,-3900,Ma,-5250,Ma,-5650,Ma,-2300,Ma,-4400,Ma,-500,Ma,-3550,Ma,-5850,Ma,-3750,Ph,-2650,Ph,-3800,Ph,-3350,Ph,-4000,Ph,-3300,Ph,-2950,Ph,-2550,Ph,-5700,Ph,-2900,Ph,-3500,Ph,-4050,Ph,-5850,Ph
215,-4300,Ph,-5050,Ma,-5950,Pc,-4400,Ma,-3900,Ma,-5250,Ma,-5650,Ma,-2300,Ma,-4300,Ma,-550,Ma,-3550,Ma,-4650,Ma,-3750,Ph,-2650,Ph,-3850,Ph,-3600,Ph,-4000,Ph,-3300,Ph,-2550,Ph,-2550,Ph,-5750,Ph,-2900,Ph,-3500,Ph,-4050,Ph,-5850,Ph
216,-4300,Ph,-5050,Ma,-5950,Pc,-4400,Ma,-3850,Ma,-5250,Ma,-5650,Ma,-2250,Ma,-4300,Ma,-550,Ma,-3650,Ma,-4550,Ma,-4100,Ph,-2350,Ph,-3850,Ph,-3600,Ph,-4050,Ph,-3300,Ph,-2550,Ph,-2550,Ph,-5750,Ph,-2950,Ph,-3500,Ph,-4050,Ph,-5900,Ph
217,-4300,Ph,-5050,Ma,-5950,Pc,-4450,Ma,-3850,Ma,-5300,Ma,-5650,Ma,-2250,Ma,-4250,Ma,0,Ma,-3650,Ma,-4600,Ma,-4100,Ph,-2350,Ph,-3900,Ph,-3550,Ph,-4050,Ph,-3300,Ph,-2600,Ph,-2550,Ph,-5800,Ph,-2950,Ph,-3550,Ph,-4050,Ph,-5900,Ph
218,-4300,Ph,-5050,Ma,-5950,Pc,-4450,Ma,-4200,Ma,-5300,Ma,-5600,Ma,-3000,Ma,-4250,Ma,0,Ma,-3800,Ma,-6200,Ma,-5400,Ph,-2400,Ph,-3900,Ph,-3550,Ph,-5500,Ph,-3300,Ph,-2600,Ph,-2600,Ph,-5800,Ph,-2550,Ph,-3550,Ph,-4050,Ph,-5250,Ph
219,-4300,Ph,-5050,Ma,-5900,Pc,-4500,Ma,-4200,Ma,-5300,Ma,-5600,Ma,-3000,Ma,-4200,Ma,-50,Ma,-3800,Ma,-6200,Ma,-5400,Ph,-2400,Ph,-3950,Ph,-3650,Ph,-5500,Ph,-3300,Ph,-2650,Ph,-2600,Ph,-6500,Ph,-2550,Ph,-3550,Ph,-4050,Ph,-5250,Ph
220,-4300,Ph,-5050,Ma,-5900,Pc,-4500,Ma,-4200,Ma,-5350,Ma,-5600,Ma,-3050,Ma,-4200,Ma,-50,Ma,-3800,Ma,-6000,Ma,-5400,Ph,-2450,Ph,-3950,Ph,-3650,Ph,-5500,Ph,-3350,Ph,-2650,Ph,-2600,Ph,-6500,Ph,-2600,Ph,-3550,Ph,-4100,Ph,-5250,Ph
221,-4300,Ph,-5050,Ma,-5900,Pc,-4500,Ma,-4200,Ma,-5350,Ma,-5600,Ma,-3050,Ma,-4250,Ma,-100,Ma,-3800,Ma,-6000,Ma,-5400,Ph,-2450,Ph,-3300,Ph,-3700,Ph,-5500,Ph,-3350,Ph,-2700,Ph,-2600,Ph,-6450,Ph,-2600,Ph,-3600,Ph,-4100,Ph,-5250,Ph
222,-4300,Ph,-5100,Ma,-5900,Pc,-4500,Ma,-3800,Ma,-5350,Ma,-5600,Ma,-3100,Ma,-4250,Ma,-100,Ma,-3800,Ma,-6050,Ma,-5400,Ph,-2500,Ph,-3300,Ph,-3700,Ph,-5450,Ph,-3350,Ph,-2700,Ph,-2650,Ph,-6450,Ph,-2600,Ph,-3600,Ph,-4100,Ph,-5300,Ph
223,-4300,Ph,-5100,Ma,-6150,Pc,-4300,Ma,-3800,Ma,-4700,Ma,-5550,Ma,-3100,Ma,-4300,Ma,-150,Ma,-3800,Ma,-6050,Ma,-5450,Ph,-2500,Ph,-3300,Ph,-2700,Ph,-5450,Ph,-3350,Ph,-2750,Ph,-2650,Ph,-5950,Ph,-2600,Ph,-3600,Ph,-4100,Ph,-5300,Ph
224,-4250,Ph,-5100,Ma,-6150,Pc,-4300,Ma,-3750,Ma,-4750,Ma,-5550,Ma,-3150,Ma,-4300,Ma,-150,Ma,-3850,Ma,-6100,Ma,-5450,Ph,-2550,Ph,-3300,Ph,-2700,Ph,-3400,Ph,-3400,Ph,-2750,Ph,-2700,Ph,-5950,Ph,-2650,Ph,-3600,Ph,-4150,Ph,-5300,Ph
225,-4250,Ph,-5100,Ma,-6100,Pc,-4250,Ma,-3750,Ma,-4750,Ma,-5550,Ma,-3150,Ma,-4250,Ma,-2650,Ma,-3850,Ma,-6100,Ma,-5450,Ph,-2550,Ph,-3350,Ph,-2750,Ph,-3400,Ph,-3400,Ph,-2800,Ph,-2700,Ph,-6400,Ph,-2650,Ph,-5650,Ph,-4150,Ph,-5300,Ph
226,-4250,Ph,-5100,Ma,-6100,Pc,-4250,Ma,-4250,Ma,-4750,Ma,-5550,Ma,-3200,Ma,-4250,Ma,-2650,Ma,-4000,Ma,-6150,Ma,-5450,Ph,-2600,Ph,-3350,Ph,-2750,Ph,-3450,Ph,-3400,Ph,-2800,Ph,-2750,Ph,-6400,Ph,-2700,Ph,-5650,Ph,-4150,Ph,-5350,Ph
227,-4250,Ph,-5150,Ma,-6050,Pc,-4000,Ma,-4250,Ma,-4800,Ma,-5550,Ma,-3200,Ma,-4200,Ma,-200,Ma,-4000,Ma,-6150,Ma,-5450,Ph,-2600,Ph,-3350,Ph,-2800,Ph,-3450,Ph,-3400,Ph,-2450,Ph,-2750,Ph,-6350,Ph,-2700,Ph,-5700,Ph,-4150,Ph,-5350,Ph
228,-4250,Ph,-5150,Ma,-6050,Pc,-4000,Ma,-4250,Ma,-4800,Ma,-5500,Ma,-3250,Ma,-4200,Ma,-200,Ma,-4200,Ma,-7000,Ma,-5050,Ph,-2350,Ph,-3350,Ph,-2800,Ph,-3500,Ph,-3450,Ph,-2450,Ph,-2800,Ph,-6350,Ph,-2750,Ph,-5700,Ph,-4200,Ph,-5350,Ph
229,-4250,Ph,-5150,Ma,-6050,Pc,-4000,Ma,-4250,Ma,-4800,Ma,-5500,Ma,-3250,Ma,-4300,Ma,-3600,Ma,-4200,Ma,-7000,Ma,-5050,Ph,-2350,Ph,-3400,Ph,-2850,Ph,-3500,Ph,-3450,Ph,-2500,Ph,-2800,Ph,-5900,Ph,-2750,Ph,-5750,Ph,-4200,Ph,-5350,Ph
230,-4250,Ph,-5150,Ma,-6050,Pc,-4000,Ma,-3700,Ma,-4850,Ma,-5500,Ma,-3300,Ma,-4300,Ma,-3600,Ma,-3750,Ma,-6650,Ma,-5050,Ph,-2400,Ph,-3400,Ph,-2850,Ph,-3550,Ph,-3450,Ph,-2500,Ph,-2800,Ph,-5900,Ph,-2800,Ph,-5750,Ph,-4200,Ph,-5400,Ph
231,-4250,Ph,-5150,Ma,-6500,Pc,-4050,Ma,-3700,Ma,-4850,Ma,-1550,Ma,-3300,Ma,-4200,Ma,-3650,Ma,-3750,Ma,-6650,Ma,-5100,Ph,-2400,Ph,-3400,Ph,-2900,Ph,-3550,Ph,-3450,Ph,-3750,Ph,-2800,Ph,-5850,Ph,-2800,Ph,-5800,Ph,-4200,Ph,-5400,Ph
232,-4000,Ph,-5200,Ma,-6500,Pc,-4050,Ma,-4050,Ma,-4850,Ma,-1550,Ma,-2700,Ma,-4200,Ma,-3650,Ma,-3750,Ma,-6700,Ma,-5100,Ph,-2450,Ph,-3400,Ph,-2900,Ph,-3600,Ph,-3450,Ph,-3750,Ph,-2450,Ph,-5850,Ph,-2450,Ph,-5800,Ph,-3800,Ph,-5400,Ph
233,-4000,Ph,-5200,Ma,-5650,Pc,-4100,Ma,-4050,Ma,-4900,Ma,-1850,Ma,-2700,Ma,-3850,Ma,-4250,Ma,-3750,Ma,-6700,Ma,-5100,Ph,-2450,Ph,-3450,Ph,-2950,Ph,-3600,Ph,-3450,Ph,-3800,Ph,-2450,Ph,-6300,Ph,-2450,Ph,-5950,Ph,-3800,Ph,-5400,Ph
234,-4000,Ph,-5200,Ma,-5650,Pc,-4100,Ma,-4050,Ma,-4900,Ma,-1850,Ma,-2350,Ma,-3850,Ma,-4250,Ma,-3750,Ma,-6750,Ma,-5150,Ph,-2250,Ph,-3450,Ph,-2950,Ph,-3650,Ph,-3500,Ph,-3800,Ph,-2500,Ph,-6300,Ph,-2500,Ph,-5950,Ph,-3850,Ph,-4700,Ph
235,-4000,Ph,-5200,Ma,-5650,Pc,-4150,Ma,-4050,Ma,-4900,Ma,-1800,Ma,-2350,Ma,-4000,Ma,-4200,Ma,-3750,Ma,-6750,Ma,-5150,Ph,-2250,Ph,-3450,Ph,-3000,Ph,-3650,Ph,-3500,Ph,-3850,Ph,-2500,Ph,-6000,Ph,-2500,Ph,-5900,Ph,-3850,Ph,-4700,Ph
236,-4000,Ph,-5200,Ma,-5650,Pc,-4150,Ma,-4000,Ma,-4950,Ma,-1800,Ma,-2750,Ma,-4000,Ma,-4200,Ma,-3750,Ma,-6800,Ma,-5150,Ph,-2200,Ph,-3450,Ph,-3000,Ph,-3700,Ph,-3500,Ph,-3850,Ph,-5650,Ph,-6000,Ph,-5650,Ph,-5900,Ph,-3900,Ph,-4700,Ph
237,-4000,Ph,-5200,Ma,-5650,Pc,-4200,Ma,-4000,Ma,-4950,Ma,-1750,Ma,-2750,Ma,-4050,Ma,-4150,Ma,-3750,Ma,-6800,Ma,-5200,Ph,-2200,Ph,-3500,Ph,-2350,Ph,-3700,Ph,-3500,Ph,-3950,Ph,-5650,Ph,-6750,Ph,-5650,Ph,-5850,Ph,-3900,Ph,-4700,Ph
238,-4050,Ph,-5200,Ma,-5650,Pc,-4200,Ma,-4000,Ma,-4950,Ma,-1750,Ma,-2800,Ma,-4050,Ma,-4150,Ma,-4350,Ma,-6850,Ma,-5200,Ph,-2150,Ph,-3500,Ph,-2350,Ph,-3200,Ph,-3500,Ph,-3950,Ph,-5700,Ph,-6750,Ph,-5700,Ph,-5850,Ph,-3900,Ph,-4700,Ph
239,-4050,Ph,-5250,Ma,-5650,Pc,-3650,Ma,-4000,Ma,-5000,Ma,-1700,Ma,-2800,Ma,-4150,Ma,-4650,Ma,-4350,Ma,-6850,Ma,-5200,Ph,-2150,Ph,-3500,Ph,-2400,Ph,-3200,Ph,-3500,Ph,-3900,Ph,-5700,Ph,-6700,Ph,-5700,Ph,-6000,Ph,-3900,Ph,-4700,Ph
240,-4050,Ph,-5250,Ma,-5650,Pc,-3650,Ma,-4100,Ma,-5000,Ma,-1700,Ma,-2850,Ma,-4150,Ma,-4650,Ma,-4250,Ma,-6900,Ma,-5250,Ph,-2150,Ph,-3500,Ph,-2400,Ph,-3250,Ph,-3550,Ph,-3900,Ph,-5750,Ph,-6700,Ph,-5750,Ph,-6000,Ph,-3900,Ph,-5200,Ph
241,-4050,Ph,-5250,Ma,-5650,Pc,-3700,Ma,-4100,Ma,-5000,Ma,-1650,Ma,-2850,Ma,-4100,Ma,-4550,Ma,-4250,Ma,-6900,Ma,-5250,Ph,-2150,Ph,-3500,Ph,-2450,Ph,-3250,Ph,-3550,Ph,-5650,Ph,-5750,Ph,-6650,Ph,-5750,Ph,-6050,Ph,-3900,Ph,-5200,Ph
242,-4050,Ph,-5250,Ma,-5650,Pc,-3700,Ma,-4100,Ma,-4650,Ma,-1650,Ma,-2900,Ma,-4100,Ma,-4550,Ma,-4300,Ma,-6950,Ma,-5250,Ph,-2100,Ph,-3500,Ph,-2450,Ph,-3300,Ph,-3550,Ph,-5650,Ph,-5800,Ph,-6650,Ph,-5800,Ph,-6050,Ph,-3900,Ph,-5200,Ph
243,-4050,Ph,-5250,Ma,-5600,Pc,-3750,Ma,-4100,Ma,-4550,Ma,-1600,Ma,-2900,Ma,-4550,Ma,-4600,Ma,-4300,Ma,-6950,Ma,-5250,Ph,-2100,Ph,-3550,Ph,-2500,Ph,-3300,Ph,-3550,Ph,-5700,Ph,-5800,Ph,-6600,Ph,-5800,Ph,-4950,Ph,-3900,Ph,-5200,Ph
244,-4100,Ph,-5250,Ma,-5600,Pc,-3750,Ma,-3950,Ma,-4600,Ma,-1600,Ma,-2950,Ma,-4550,Ma,-4600,Ma,-3600,Ma,-6300,Ma,-5250,Ph,-5400,Ph,-3550,Ph,-2500,Ph,-3350,Ph,-3550,Ph,-5700,Ph,-6500,Ph,-6600,Ph,-6500,Ph,-4950,Ph,-3950,Ph,-4550,Ph
245,-4100,Ph,-5250,Ma,-5600,Pc,-3800,Ma,-3950,Ma,-4350,Ma,-2050,Ma,-2950,Ma,-4600,Ma,-4700,Ma,-3600,Ma,-6300,Ma,-5300,Ph,-5400,Ph,-3550,Ph,-2550,Ph,-3350,Ph,-3550,Ph,-5750,Ph,-6500,Ph,-6550,Ph,-6500,Ph,-5050,Ph,-3950,Ph,-4550,Ph
246,-4100,Ph,-5300,Ma,-5600,Pc,-3800,Ma,-3950,Ma,-4400,Ma,-2050,Ma,-2450,Ma,-4600,Ma,-4700,Ma,-3950,Ma,-6350,Ma,-5300,Ph,-5400,Ph,-3550,Ph,-2550,Ph,-5450,Ph,-3600,Ph,-5750,Ph,-6450,Ph,-6550,Ph,-6450,Ph,-5050,Ph,-3950,Ph,-4750,Ph
247,-4100,Ph,-5300,Ma,-5600,Pc,-3850,Ma,-3950,Ma,-4450,Ma,-2000,Ma,-2450,Ma,-4200,Ma,-4750,Ma,-3950,Ma,-6350,Ma,-5300,Ph,-5450,Ph,-3550,Ph,-2600,Ph,-5450,Ph,-3600,Ph,-5750,Ph,-6450,Ph,-6150,Ph,-6450,Ph,-3000,Ph,-3950,Ph,-4750,Ph
248,-4100,Ph,-5300,Ma,-5600,Pc,-3850,Ma,-4150,Ma,-4500,Ma,-2000,Ma,-2500,Ma,-4200,Ma,-4750,Ma,-3950,Ma,-6400,Ma,-5300,Ph,-5450,Ph,-3550,Ph,-2600,Ph,-5550,Ph,-3600,Ph,-5750,Ph,-5950,Ph,-6150,Ph,-5950,Ph,-3000,Ph,-3950,Ph,-4750,Ph
249,-4100,Ph,-5300,Ma,-5600,Pc,-3900,Ma,-4150,Ma,-4300,Ma,-2100,Ma,-2500,Ma,-4200,Ma,-2750,Ma,-3950,Ma,-6400,Ma,-5300,Ph,-5450,Ph,-3600,Ph,-2650,Ph,-5550,Ph,-3600,Ph,-5800,Ph,-5950,Ph,-6900,Ph,-5950,Ph,-2900,Ph,-3950,Ph,-4750,Ph
250,-4100,Ph,-5300,Ma,-5600,Pc,-3900,Ma,-4150,Ma,-4250,Ma,-2100,Ma,-2550,Ma,-4200,Ma,-2750,Ma,-3900,Ma,-6450,Ma,-5350,Ph,-5050,Ph,-3600,Ph,-2650,Ph,-5100,Ph,-3600,Ph,-5800,Ph,-6400,Ph,-6900,Ph,-6400,Ph,-2900,Ph,-3950,Ph,-4750,Ph
251,-4100,Ph,-5300,Ma,-5550,Pc,-3950,Ma,-4150,Ma,-4250,Ma,-1950,Ma,-2550,Ma,-4150,Ma,-2800,Ma,-3900,Ma,-6450,Ma,-5350,Ph,-5100,Ph,-3600,Ph,-3800,Ph,-5100,Ph,-3600,Ph,-6500,Ph,-6400,Ph,-6200,Ph,-6400,Ph,-2850,Ph,-3950,Ph,-4750,Ph
252,-4150,Ph,-5300,Ma,-5550,Pc,-3950,Ma,-5850,Ma,-4000,Ma,-1950,Ma,-2600,Ma,-4150,Ma,-2800,Ma,-3900,Ma,-6500,Ma,-5350,Ph,-5150,Ph,-3600,Ph,-3800,Ph,-5450,Ph,-3600,Ph,-6500,Ph,-6350,Ph,-6200,Ph,-6350,Ph,-2850,Ph,-4750,Ph,-4800,Ph
253,-4150,Ph,-5300,Ma,-5550,Pc,-3950,Ma,-5850,Ma,-4000,Ma,-1900,Ma,-2600,Ma,-4250,Ma,-2850,Ma,-3900,Ma,-6500,Ma,-5350,Ph,-5200,Ph,-2950,Ph,-3850,Ph,-5450,Ph,-3600,Ph,-6450,Ph,-6350,Ph,-6250,Ph,-6350,Ph,-2950,Ph,-4750,Ph,-4800,Ph
254,-4150,Ph,-5300,Ma,-5550,Pc,-3950,Ma,-5850,Ma,-4050,Ma,-1900,Ma,-2650,Ma,-4250,Ma,-2850,Ma,-3750,Ma,-6550,Ma,-5350,Ph,-5250,Ph,-2950,Ph,-3850,Ph,-5400,Ph,-3000,Ph,-6450,Ph,-5900,Ph,-6250,Ph,-5900,Ph,-2950,Ph,-4950,Ph,-4800,Ph
255,-4150,Ph,-5350,Ma,-5550,Pc,-3300,Ma,-5850,Ma,-4050,Ma,-1850,Ma,-2650,Ma,-3950,Ma,-4450,Ma,-3750,Ma,-6550,Ma,-4700,Ph,-5300,Ph,-3000,Ph,-3900,Ph,-5400,Ph,-3000,Ph,-5950,Ph,-5900,Ph,-6850,Ph,-5900,Ph,-3350,Ph,-4950,Ph,-4800,Ph
256,-4150,Ph,-5350,Ma,-5550,Pc,-3300,Ma,-6250,Ma,-4100,Ma,-1850,Ma,-2400,Ma,-3950,Ma,-4450,Ma,-3800,Ma,-6600,Ma,-4700,Ph,-5350,Ph,-3000,Ph,-3900,Ph,-5350,Ph,-3000,Ph,-5950,Ph,-5850,Ph,-6850,Ph,-5850,Ph,-3350,Ph,-5000,Ph,-4800,Ph
257,-4150,Ph,-5350,Ma,-5500,Pc,-3300,Ma,-6250,Ma,-4100,Ma,-1800,Ma,-2400,Ma,-3950,Ma,-4500,Ma,-3800,Ma,-6600,Ma,-4700,Ph,-4700,Ph,-3000,Ph,-2250,Ph,-5350,Ph,-3000,Ph,-6400,Ph,-5850,Ph,-6050,Ph,-5850,Ph,-3300,Ph,-5000,Ph,-4800,Ph
258,-4200,Ph,-5350,Ma,-5500,Pc,-3300,Ma,-6200,Ma,-4150,Ma,-1800,Ma,-6950,Ma,-3950,Ma,-4500,Ma,-4150,Ma,-6000,Ma,-4750,Ph,-4750,Ph,-3000,Ph,-2250,Ph,-5300,Ph,-3050,Ph,-6400,Ph,-6300,Ph,-6050,Ph,-6300,Ph,-3300,Ph,-4900,Ph,-4800,Ph
259,-4200,Ph,-5350,Ma,-5500,Pc,-3300,Ma,-6200,Ma,-4150,Ma,-2400,Ma,-6950,Ma,-3950,Ma,-2050,Ma,-4150,Ma,-6000,Ma,-4750,Ph,-4800,Ph,-3050,Ph,-2300,Ph,-5300,Ph,-3050,Ph,-6350,Ph,-6300,Ph,-6800,Ph,-6300,Ph,-3250,Ph,-4900,Ph,-4800,Ph
260,-4200,Ph,-4700,Ma,-5500,Pc,-3300,Ma,-7650,Ma,-4200,Ma,-2400,Ma,-5800,Ma,-3950,Ma,-2050,Ma,-4150,Ma,-6050,Ma,-4750,Ph,-4850,Ph,-3050,Ph,-2300,Ph,-5250,Ph,-3050,Ph,-6350,Ph,-6000,Ph,-6800,Ph,-6000,Ph,-3250,Ph,-3650,Ph,-5500,Ph
261,-4200,Ph,-4700,Ma,-5400,Pc,-3350,Ma,-7650,Ma,-4200,Ma,-2400,Ma,-5800,Ma,-1950,Ma,-2000,Ma,-4150,Ma,-6050,Ma,-4800,Ph,-4900,Ph,-3050,Ph,-5850,Ph,-5250,Ph,-3050,Ph,-5900,Ph,-6000,Ph,-2250,Ph,-6000,Ph,-3200,Ph,-3650,Ph,-5500,Ph
262,-4200,Ph,-4700,Ma,-5400,Pc,-3350,Ma,-5800,Ma,-3650,Ma,-2400,Ma,-5850,Ma,-1950,Ma,-2000,Ma,-3650,Ma,-6100,Ma,-4800,Ph,-4950,Ph,-3050,Ph,-5950,Ph,-5200,Ph,-3100,Ph,-5900,Ph,-6750,Ph,-2250,Ph,-6750,Ph,-3200,Ph,-3550,Ph,-5150,Ph
263,-4200,Ph,-4700,Ma,-5400,Pc,-3350,Ma,-5800,Ma,-3650,Ma,-2350,Ma,-5850,Ma,-2550,Ma,-2100,Ma,-3650,Ma,-6100,Ma,-4800,Ph,-5000,Ph,-3100,Ph,-5950,Ph,-5200,Ph,-3100,Ph,-5850,Ph,-6750,Ph,-2300,Ph,-6750,Ph,-3150,Ph,-3550,Ph,-5150,Ph
264,-4200,Ph,-4700,Ma,-5450,Pc,-3350,Ma,-5800,Ma,-3700,Ma,-2350,Ma,-5900,Ma,-2550,Ma,-2100,Ma,-3650,Ma,-6150,Ma,-4850,Ma,-4650,Ph,-3100,Ph,-5900,Ph,-5150,Ph,-3100,Ph,-5850,Ph,-6700,Ph,-2300,Ph,-6700,Ph,-3150,Ph,-3600,Ph,-5150,Ph
